Date,Year,Quarter,Quarter (Text),Month,Month Name,Month Short Name,Week of Year,Day
2020-01-01,2020,1,Q1,1,January,Jan,0,1
2020-01-02,2020,1,Q1,1,January,Jan,0,2
2020-01-03,2020,1,Q1,1,January,Jan,0,3
2020-01-04,2020,1,Q1,1,January,Jan,0,4
2020-01-05,2020,1,Q1,1,January,Jan,0,5
2020-01-06,2020,1,Q1,1,January,Jan,1,6
2020-01-07,2020,1,Q1,1,January,Jan,1,7
2020-01-08,2020,1,Q1,1,January,Jan,1,8
2020-01-09,2020,1,Q1,1,January,Jan,1,9
2020-01-10,2020,1,Q1,1,January,Jan,1,10
2020-01-11,2020,1,Q1,1,January,Jan,1,11
2020-01-12,2020,1,Q1,1,January,Jan,1,12
2020-01-13,2020,1,Q1,1,January,Jan,2,13
2020-01-14,2020,1,Q1,1,January,Jan,2,14
2020-01-15,2020,1,Q1,1,January,Jan,2,15
2020-01-16,2020,1,Q1,1,January,Jan,2,16
2020-01-17,2020,1,Q1,1,January,Jan,2,17
2020-01-18,2020,1,Q1,1,January,Jan,2,18
2020-01-19,2020,1,Q1,1,January,Jan,2,19
2020-01-20,2020,1,Q1,1,January,Jan,3,20
2020-01-21,2020,1,Q1,1,January,Jan,3,21
2020-01-22,2020,1,Q1,1,January,Jan,3,22
2020-01-23,2020,1,Q1,1,January,Jan,3,23
2020-01-24,2020,1,Q1,1,January,Jan,3,24
2020-01-25,2020,1,Q1,1,January,Jan,3,25
2020-01-26,2020,1,Q1,1,January,Jan,3,26
2020-01-27,2020,1,Q1,1,January,Jan,4,27
2020-01-28,2020,1,Q1,1,January,Jan,4,28
2020-01-29,2020,1,Q1,1,January,Jan,4,29
2020-01-30,2020,1,Q1,1,January,Jan,4,30
2020-01-31,2020,1,Q1,1,January,Jan,4,31
2020-02-01,2020,1,Q1,2,February,Feb,4,1
2020-02-02,2020,1,Q1,2,February,Feb,4,2
2020-02-03,2020,1,Q1,2,February,Feb,5,3
2020-02-04,2020,1,Q1,2,February,Feb,5,4
2020-02-05,2020,1,Q1,2,February,Feb,5,5
2020-02-06,2020,1,Q1,2,February,Feb,5,6
2020-02-07,2020,1,Q1,2,February,Feb,5,7
2020-02-08,2020,1,Q1,2,February,Feb,5,8
2020-02-09,2020,1,Q1,2,February,Feb,5,9
2020-02-10,2020,1,Q1,2,February,Feb,6,10
2020-02-11,2020,1,Q1,2,February,Feb,6,11
2020-02-12,2020,1,Q1,2,February,Feb,6,12
2020-02-13,2020,1,Q1,2,February,Feb,6,13
2020-02-14,2020,1,Q1,2,February,Feb,6,14
2020-02-15,2020,1,Q1,2,February,Feb,6,15
2020-02-16,2020,1,Q1,2,February,Feb,6,16
2020-02-17,2020,1,Q1,2,February,Feb,7,17
2020-02-18,2020,1,Q1,2,February,Feb,7,18
2020-02-19,2020,1,Q1,2,February,Feb,7,19
2020-02-20,2020,1,Q1,2,February,Feb,7,20
2020-02-21,2020,1,Q1,2,February,Feb,7,21
2020-02-22,2020,1,Q1,2,February,Feb,7,22
2020-02-23,2020,1,Q1,2,February,Feb,7,23
2020-02-24,2020,1,Q1,2,February,Feb,8,24
2020-02-25,2020,1,Q1,2,February,Feb,8,25
2020-02-26,2020,1,Q1,2,February,Feb,8,26
2020-02-27,2020,1,Q1,2,February,Feb,8,27
2020-02-28,2020,1,Q1,2,February,Feb,8,28
2020-02-29,2020,1,Q1,2,February,Feb,8,29
2020-03-01,2020,1,Q1,3,March,Mar,8,1
2020-03-02,2020,1,Q1,3,March,Mar,9,2
2020-03-03,2020,1,Q1,3,March,Mar,9,3
2020-03-04,2020,1,Q1,3,March,Mar,9,4
2020-03-05,2020,1,Q1,3,March,Mar,9,5
2020-03-06,2020,1,Q1,3,March,Mar,9,6
2020-03-07,2020,1,Q1,3,March,Mar,9,7
2020-03-08,2020,1,Q1,3,March,Mar,9,8
2020-03-09,2020,1,Q1,3,March,Mar,10,9
2020-03-10,2020,1,Q1,3,March,Mar,10,10
2020-03-11,2020,1,Q1,3,March,Mar,10,11
2020-03-12,2020,1,Q1,3,March,Mar,10,12
2020-03-13,2020,1,Q1,3,March,Mar,10,13
2020-03-14,2020,1,Q1,3,March,Mar,10,14
2020-03-15,2020,1,Q1,3,March,Mar,10,15
2020-03-16,2020,1,Q1,3,March,Mar,11,16
2020-03-17,2020,1,Q1,3,March,Mar,11,17
2020-03-18,2020,1,Q1,3,March,Mar,11,18
2020-03-19,2020,1,Q1,3,March,Mar,11,19
2020-03-20,2020,1,Q1,3,March,Mar,11,20
2020-03-21,2020,1,Q1,3,March,Mar,11,21
2020-03-22,2020,1,Q1,3,March,Mar,11,22
2020-03-23,2020,1,Q1,3,March,Mar,12,23
2020-03-24,2020,1,Q1,3,March,Mar,12,24
2020-03-25,2020,1,Q1,3,March,Mar,12,25
2020-03-26,2020,1,Q1,3,March,Mar,12,26
2020-03-27,2020,1,Q1,3,March,Mar,12,27
2020-03-28,2020,1,Q1,3,March,Mar,12,28
2020-03-29,2020,1,Q1,3,March,Mar,12,29
2020-03-30,2020,1,Q1,3,March,Mar,13,30
2020-03-31,2020,1,Q1,3,March,Mar,13,31
2020-04-01,2020,2,Q2,4,April,Apr,13,1
2020-04-02,2020,2,Q2,4,April,Apr,13,2
2020-04-03,2020,2,Q2,4,April,Apr,13,3
2020-04-04,2020,2,Q2,4,April,Apr,13,4
2020-04-05,2020,2,Q2,4,April,Apr,13,5
2020-04-06,2020,2,Q2,4,April,Apr,14,6
2020-04-07,2020,2,Q2,4,April,Apr,14,7
2020-04-08,2020,2,Q2,4,April,Apr,14,8
2020-04-09,2020,2,Q2,4,April,Apr,14,9
2020-04-10,2020,2,Q2,4,April,Apr,14,10
2020-04-11,2020,2,Q2,4,April,Apr,14,11
2020-04-12,2020,2,Q2,4,April,Apr,14,12
2020-04-13,2020,2,Q2,4,April,Apr,15,13
2020-04-14,2020,2,Q2,4,April,Apr,15,14
2020-04-15,2020,2,Q2,4,April,Apr,15,15
2020-04-16,2020,2,Q2,4,April,Apr,15,16
2020-04-17,2020,2,Q2,4,April,Apr,15,17
2020-04-18,2020,2,Q2,4,April,Apr,15,18
2020-04-19,2020,2,Q2,4,April,Apr,15,19
2020-04-20,2020,2,Q2,4,April,Apr,16,20
2020-04-21,2020,2,Q2,4,April,Apr,16,21
2020-04-22,2020,2,Q2,4,April,Apr,16,22
2020-04-23,2020,2,Q2,4,April,Apr,16,23
2020-04-24,2020,2,Q2,4,April,Apr,16,24
2020-04-25,2020,2,Q2,4,April,Apr,16,25
2020-04-26,2020,2,Q2,4,April,Apr,16,26
2020-04-27,2020,2,Q2,4,April,Apr,17,27
2020-04-28,2020,2,Q2,4,April,Apr,17,28
2020-04-29,2020,2,Q2,4,April,Apr,17,29
2020-04-30,2020,2,Q2,4,April,Apr,17,30
2020-05-01,2020,2,Q2,5,May,May,17,1
2020-05-02,2020,2,Q2,5,May,May,17,2
2020-05-03,2020,2,Q2,5,May,May,17,3
2020-05-04,2020,2,Q2,5,May,May,18,4
2020-05-05,2020,2,Q2,5,May,May,18,5
2020-05-06,2020,2,Q2,5,May,May,18,6
2020-05-07,2020,2,Q2,5,May,May,18,7
2020-05-08,2020,2,Q2,5,May,May,18,8
2020-05-09,2020,2,Q2,5,May,May,18,9
2020-05-10,2020,2,Q2,5,May,May,18,10
2020-05-11,2020,2,Q2,5,May,May,19,11
2020-05-12,2020,2,Q2,5,May,May,19,12
2020-05-13,2020,2,Q2,5,May,May,19,13
2020-05-14,2020,2,Q2,5,May,May,19,14
2020-05-15,2020,2,Q2,5,May,May,19,15
2020-05-16,2020,2,Q2,5,May,May,19,16
2020-05-17,2020,2,Q2,5,May,May,19,17
2020-05-18,2020,2,Q2,5,May,May,20,18
2020-05-19,2020,2,Q2,5,May,May,20,19
2020-05-20,2020,2,Q2,5,May,May,20,20
2020-05-21,2020,2,Q2,5,May,May,20,21
2020-05-22,2020,2,Q2,5,May,May,20,22
2020-05-23,2020,2,Q2,5,May,May,20,23
2020-05-24,2020,2,Q2,5,May,May,20,24
2020-05-25,2020,2,Q2,5,May,May,21,25
2020-05-26,2020,2,Q2,5,May,May,21,26
2020-05-27,2020,2,Q2,5,May,May,21,27
2020-05-28,2020,2,Q2,5,May,May,21,28
