FK_Sale,TransactionDate,FK_Customer,FK_Product,FK_Store,Quantity,UnitPrice,TotalAmount,FK_Status,FK_Employee
1,2020-01-09,30,2,1,1,88.94,88.94,4,3
2,2020-01-05,8,5,1,3,17.57,52.71,4,3
3,2020-01-05,3,10,1,4,34.99,139.96,4,1
4,2020-01-20,13,2,1,2,126.69,253.38,3,4
5,2020-01-04,18,15,1,3,48.99,146.97,4,3
6,2020-01-01,29,20,1,5,35.33,176.65,3,3
7,2020-01-10,17,18,1,1,16.15,16.15,4,2
8,2020-01-17,20,19,1,2,15.99,31.98,4,3
9,2020-01-26,2,6,1,4,32.99,131.96,4,2
10,2020-01-03,18,20,1,1,27.31,27.31,4,2
11,2020-01-28,7,13,1,3,70.92,212.76,4,2
12,2020-01-29,4,10,1,1,42.52,42.52,4,2
13,2020-01-08,23,1,1,1,1342.25,1342.25,1,1
14,2020-01-09,7,15,1,3,81.94,245.82,4,2
15,2020-01-16,7,17,1,1,34.52,34.52,4,1
16,2020-01-24,21,2,1,1,107.26,107.26,1,1
17,2020-01-07,5,10,1,1,47.51,47.51,3,4
18,2020-01-04,18,2,1,5,123.11,615.55,4,1
19,2020-01-16,28,9,1,4,89.99,359.96,4,4
20,2020-01-30,15,17,1,2,53.46,106.92,4,3
21,2020-01-23,7,9,1,1,76.6,76.6,2,3
22,2020-01-02,16,2,1,1,89.63,89.63,1,2
23,2020-01-22,13,18,1,5,13.84,69.2,1,1
24,2020-01-14,19,15,1,4,41.26,165.04,4,3
25,2020-01-13,21,3,1,2,151.9,303.8,3,3
26,2020-01-19,3,20,1,2,16.99,33.98,1,2
27,2020-01-12,15,6,1,2,34.67,69.34,3,3
28,2020-01-10,4,19,1,1,36.24,36.24,4,2
29,2020-01-10,23,13,1,1,88.99,88.99,4,3
30,2020-01-29,2,19,1,2,33.99,67.98,4,1
31,2020-01-05,9,14,1,3,181.75,545.25,1,2
32,2020-01-31,29,18,1,2,17.02,34.04,4,2
33,2020-01-05,12,2,1,4,64.99,259.96,3,1
34,2020-01-29,20,18,1,4,8.99,35.96,4,2
35,2020-01-06,1,18,1,3,10.99,32.97,4,2
36,2020-01-28,8,16,1,1,18.99,18.99,2,3
37,2020-01-08,30,5,1,1,25.41,25.41,4,4
38,2020-01-22,11,4,1,4,291.99,1167.96,4,3
39,2020-01-13,27,15,2,4,35.92,143.68,4,7
40,2020-01-31,2,20,2,2,23.68,47.36,4,5
41,2020-01-17,29,3,2,1,128.99,128.99,4,6
42,2020-01-18,24,15,2,1,33.2,33.2,4,6
43,2020-01-11,4,15,2,2,68.99,137.98,4,7
44,2020-01-18,14,3,2,3,149.28,447.84,4,8
45,2020-01-18,10,18,2,1,16.43,16.43,4,7
46,2020-01-15,7,8,2,3,86.43,259.29,4,8
47,2020-01-10,21,10,2,1,66.99,66.99,4,7
48,2020-01-26,1,5,2,1,18.5,18.5,2,5
49,2020-01-29,7,14,2,2,135.6,271.2,1,8
50,2020-01-25,6,8,2,1,40.95,40.95,4,8
51,2020-01-26,17,9,2,5,184.89,924.45,4,7
52,2020-01-17,30,8,2,4,72.59,290.36,4,8
53,2020-01-08,9,18,2,2,9.99,19.98,4,8
54,2020-01-09,29,6,2,1,15.01,15.01,4,5
55,2020-01-03,11,8,2,2,38.24,76.48,4,8
56,2020-01-19,1,19,2,2,36.99,73.98,4,8
57,2020-01-29,14,20,2,2,21.64,43.28,4,6
58,2020-01-22,13,15,2,4,84.17,336.68,4,6
59,2020-01-30,19,7,2,1,96.15,96.15,4,5
60,2020-01-09,7,7,2,1,131.99,131.99,4,8
61,2020-01-27,27,8,2,2,71.99,143.98,4,5
62,2020-01-08,25,15,2,3,84.99,254.97,1,5
63,2020-01-08,22,3,2,2,80.8,161.6,4,5
64,2020-01-06,24,13,2,3,51.99,155.97,4,5
65,2020-01-30,22,6,2,2,26.99,53.98,4,8
66,2020-01-21,23,5,2,4,20.99,83.96,4,7
67,2020-01-26,18,2,2,3,54.52,163.56,2,8
68,2020-01-27,14,9,2,2,176.73,353.46,4,7
69,2020-01-24,21,10,2,2,65.78,131.56,4,7
70,2020-01-27,9,16,2,4,20.99,83.96,4,7
71,2020-01-08,19,16,3,3,13.38,40.14,4,11
72,2020-01-16,26,5,3,1,26.61,26.61,4,10
73,2020-01-01,7,10,3,1,45.26,45.26,4,9
74,2020-01-16,16,14,3,3,111.99,335.97,4,10
75,2020-01-10,12,15,3,2,49.63,99.26,4,10
76,2020-01-12,9,16,3,1,8.99,8.99,4,10
77,2020-01-18,23,20,3,1,33.99,33.99,4,9
78,2020-01-25,10,10,3,3,39.99,119.97,4,9
79,2020-01-23,9,10,3,5,51.13,255.65,4,9
80,2020-01-28,4,16,3,2,15.51,31.02,4,9
81,2020-01-02,28,5,3,1,10.31,10.31,4,10
82,2020-01-22,5,2,3,5,54.99,274.95,4,11
83,2020-01-14,26,13,3,1,80.81,80.81,4,11
84,2020-01-28,14,13,3,2,43.82,87.64,1,10
85,2020-01-21,22,5,3,1,11.99,11.99,2,9
86,2020-01-23,10,13,3,1,95.56,95.56,4,9
87,2020-01-22,9,5,3,2,24.99,49.98,4,11
88,2020-01-08,30,15,3,3,32.99,98.97,4,10
89,2020-01-24,30,17,3,2,34.99,69.98,4,10
90,2020-01-09,16,10,3,1,30.59,30.59,4,10
91,2020-01-09,8,2,3,3,95.02,285.06,4,11
92,2020-01-22,19,17,3,3,25.31,75.93,4,9
93,2020-01-09,19,4,3,2,196.99,393.98,4,10
94,2020-01-11,4,6,3,1,26.99,26.99,4,9
95,2020-01-27,2,16,3,1,11.99,11.99,4,10
96,2020-01-28,1,10,3,4,46.99,187.96,4,11
97,2020-01-20,21,16,3,3,11.26,33.78,4,10
98,2020-01-15,16,18,3,1,14.56,14.56,4,9
99,2020-01-10,18,11,3,1,596.29,596.29,4,10
100,2020-01-04,5,15,3,4,46.51,186.04,4,10
101,2020-01-16,8,20,3,2,24.74,49.48,4,10
102,2020-01-29,3,3,3,3,143.99,431.97,4,10
103,2020-01-09,10,17,4,1,40.13,40.13,4,14
104,2020-01-05,16,8,4,1,72.99,72.99,4,13
105,2020-01-28,23,4,4,2,145.71,291.42,3,12
106,2020-01-16,26,16,4,2,18.62,37.24,4,13
107,2020-01-16,5,20,4,5,22.99,114.95,4,14
108,2020-01-04,15,10,4,3,45.4,136.2,4,12
109,2020-01-16,9,17,4,2,32.99,65.98,4,13
110,2020-01-22,13,18,4,2,17.65,35.3,4,13
111,2020-01-20,21,2,4,4,128.79,515.16,4,14
112,2020-01-04,23,16,4,2,19.1,38.2,1,12
113,2020-01-10,14,7,4,1,94.33,94.33,4,12
114,2020-01-06,28,2,4,2,68.27,136.54,4,13
115,2020-01-15,15,14,4,3,233.84,701.52,4,13
116,2020-01-18,15,4,4,5,158.83,794.15,4,13
117,2020-01-15,7,18,4,4,7.99,31.96,4,13
118,2020-01-10,10,20,4,5,31.99,159.95,4,12
119,2020-01-22,2,17,4,3,48.98,146.94,4,14
120,2020-01-08,12,13,4,2,88.67,177.34,4,12
121,2020-01-22,5,15,4,1,65.99,65.99,4,14
122,2020-01-02,24,13,4,1,62.61,62.61,4,12
123,2020-01-05,29,17,4,2,51.89,103.78,4,13
124,2020-01-27,26,19,4,3,21.99,65.97,4,13
125,2020-01-05,8,16,4,3,23.68,71.04,4,14
126,2020-01-12,13,3,4,1,70.99,70.99,4,12
127,2020-01-09,27,13,4,5,46.99,234.95,3,14
128,2020-01-11,8,19,4,1,34.6,34.6,4,14
129,2020-01-14,2,3,4,1,107.99,107.99,4,12
130,2020-01-05,12,7,4,5,125.61,628.05,4,14
131,2020-01-24,14,4,4,1,196.87,196.87,4,14
132,2020-01-02,7,15,4,2,42.99,85.98,4,13
133,2020-01-12,21,10,4,1,40.04,40.04,4,13
134,2020-01-27,22,9,4,2,145.99,291.98,4,12
135,2020-01-08,26,20,4,1,37.23,37.23,4,14
136,2020-01-27,11,18,5,3,13.99,41.97,4,15
137,2020-01-05,26,10,5,1,62.99,62.99,4,15
138,2020-01-26,11,5,5,1,10.05,10.05,4,15
139,2020-01-24,15,2,5,2,57.72,115.44,4,16
140,2020-01-02,30,16,5,2,15.33,30.66,2,17
141,2020-01-28,22,8,5,2,82.99,165.98,3,15
142,2020-01-05,9,2,5,2,91.99,183.98,4,17
143,2020-01-17,17,6,5,2,28.99,57.98,4,17
144,2020-01-29,24,16,5,2,22.21,44.42,4,15
145,2020-01-13,4,8,5,2,66.99,133.98,4,16
146,2020-01-30,3,9,5,1,81.55,81.55,4,15
147,2020-01-18,18,2,5,1,57.99,57.99,4,17
148,2020-01-25,30,8,5,1,42.99,42.99,3,17
149,2020-01-07,16,4,5,4,169.02,676.08,4,15
150,2020-01-09,26,12,5,4,886.27,3545.08,4,16
151,2020-01-21,20,11,5,3,341.99,1025.97,4,17
152,2020-01-10,12,19,5,1,17.58,17.58,3,15
153,2020-01-21,3,20,5,2,24.53,49.06,4,17
154,2020-01-10,25,16,5,2,21.99,43.98,4,17
155,2020-01-02,9,15,5,3,58.14,174.42,4,16
156,2020-01-25,12,10,5,1,56.13,56.13,4,16
157,2020-01-10,13,2,5,1,65.35,65.35,4,17
158,2020-01-25,11,5,5,1,22.99,22.99,4,15
159,2020-01-23,18,5,6,3,10.44,31.32,1,20
160,2020-01-15,28,19,6,2,28.33,56.66,4,19
161,2020-01-04,11,8,6,3,64.56,193.68,4,18
162,2020-01-03,4,8,6,2,49.99,99.98,4,18
163,2020-01-24,11,6,6,1,25.46,25.46,4,18
164,2020-01-25,24,7,6,3,73.99,221.97,4,20
165,2020-01-20,25,4,6,1,289.26,289.26,4,20
166,2020-01-19,15,16,6,4,17.03,68.12,4,20
167,2020-01-28,11,20,6,2,27.13,54.26,4,18
168,2020-01-19,17,2,6,1,84.99,84.99,4,18
169,2020-01-03,28,14,6,2,175.06,350.12,4,18
170,2020-01-26,2,16,6,4,16.99,67.96,4,19
171,2020-01-17,2,4,6,1,277.99,277.99,4,19
172,2020-01-17,2,14,6,3,247.65,742.95,4,18
173,2020-01-12,10,7,6,2,86.22,172.44,4,19
174,2020-01-21,11,6,6,2,18.99,37.98,4,18
175,2020-01-31,28,19,6,1,27.99,27.99,4,18
176,2020-01-31,22,15,6,1,70.99,70.99,4,19
177,2020-01-21,27,17,6,3,48.84,146.52,4,18
178,2020-01-17,22,3,6,2,59.99,119.98,4,19
179,2020-01-11,16,19,6,1,16.99,16.99,4,18
180,2020-01-04,18,10,6,4,29.99,119.96,4,20
181,2020-01-05,5,13,6,1,94.43,94.43,4,18
182,2020-01-24,14,8,7,3,40.2,120.6,4,22
183,2020-01-24,8,17,7,1,53.76,53.76,4,23
184,2020-01-07,19,7,7,2,78.99,157.98,4,22
185,2020-01-31,7,4,7,1,149.0,149.0,4,23
186,2020-01-18,23,19,7,4,21.13,84.52,4,23
187,2020-01-29,27,10,7,1,65.42,65.42,4,22
188,2020-01-30,2,2,7,2,67.86,135.72,4,22
189,2020-01-01,4,6,7,2,28.99,57.98,4,23
190,2020-01-27,27,9,7,3,129.98,389.94,4,21
191,2020-01-01,27,5,7,2,23.54,47.08,4,21
192,2020-01-10,4,5,7,1,21.78,21.78,2,21
193,2020-01-20,21,10,7,2,56.99,113.98,2,23
194,2020-01-08,6,12,7,3,659.99,1979.97,4,23
195,2020-01-18,17,10,7,1,62.99,62.99,4,23
196,2020-01-12,1,5,7,3,15.9,47.7,4,22
197,2020-01-25,25,13,7,1,66.99,66.99,4,22
198,2020-01-27,15,17,7,2,24.99,49.98,4,23
199,2020-01-31,10,9,7,1,93.99,93.99,4,21
200,2020-01-17,27,8,7,2,27.34,54.68,4,23
201,2020-01-28,28,17,7,1,22.99,22.99,4,23
202,2020-01-24,13,8,7,5,56.76,283.8,4,22
203,2020-01-17,3,5,7,2,17.61,35.22,4,23
204,2020-01-10,3,6,7,3,16.97,50.91,4,22
205,2020-01-23,15,8,7,3,83.34,250.02,4,21
206,2020-01-21,2,20,7,3,25.37,76.11,4,21
207,2020-01-06,5,20,7,3,25.99,77.97,4,23
208,2020-01-21,13,7,7,1,65.88,65.88,4,23
209,2020-01-15,19,16,7,2,14.37,28.74,4,21
210,2020-01-04,6,2,8,2,121.99,243.98,4,25
211,2020-01-23,20,8,8,3,87.99,263.97,4,25
212,2020-01-03,29,9,8,5,174.37,871.85,4,25
213,2020-01-22,3,7,8,4,142.65,570.6,4,25
214,2020-01-21,12,4,8,1,138.99,138.99,4,24
215,2020-01-01,19,7,8,2,156.99,313.98,4,25
216,2020-01-03,23,6,8,2,29.0,58.0,2,25
217,2020-01-21,15,2,8,1,115.32,115.32,4,25
218,2020-01-25,14,20,8,3,27.99,83.97,4,24
219,2020-01-30,12,16,8,4,12.01,48.04,4,25
220,2020-01-05,20,14,8,2,124.3,248.6,4,24
221,2020-01-22,29,14,8,4,183.54,734.16,1,25
222,2020-01-31,19,14,8,2,214.04,428.08,4,25
223,2020-01-16,18,18,8,2,9.99,19.98,4,25
224,2020-01-13,3,6,8,1,19.81,19.81,4,24
225,2020-01-05,23,6,8,3,31.38,94.14,4,25
226,2020-01-12,4,10,8,1,33.9,33.9,4,25
227,2020-01-02,13,6,8,1,30.99,30.99,4,25
228,2020-01-19,7,16,8,2,16.24,32.48,4,24
229,2020-01-01,13,3,8,5,79.99,399.95,2,25
230,2020-01-20,21,18,8,1,7.0,7.0,4,25
231,2020-01-09,25,16,8,1,14.41,14.41,4,25
232,2020-01-18,13,6,8,3,16.27,48.81,4,25
233,2020-01-04,4,3,9,1,157.68,157.68,4,27
234,2020-01-05,17,5,9,2,9.0,18.0,4,27
235,2020-01-16,5,10,9,4,34.59,138.36,4,28
236,2020-01-13,24,20,9,2,28.2,56.4,4,27
237,2020-01-19,27,6,9,1,26.52,26.52,4,26
238,2020-01-26,28,19,9,2,27.99,55.98,4,28
239,2020-01-25,8,13,9,1,77.44,77.44,4,28
240,2020-01-25,5,18,9,1,13.87,13.87,4,28
241,2020-01-15,5,6,9,3,19.67,59.01,4,27
242,2020-01-28,24,18,9,3,13.22,39.66,4,26
243,2020-01-16,11,10,9,2,50.33,100.66,4,26
244,2020-01-28,21,16,9,1,15.75,15.75,4,28
245,2020-01-10,10,5,9,3,22.8,68.4,4,27
246,2020-01-18,26,19,9,1,17.05,17.05,4,28
247,2020-01-13,25,17,9,1,29.35,29.35,4,26
248,2020-01-15,24,15,9,1,77.99,77.99,4,27
249,2020-01-09,20,3,9,2,83.25,166.5,4,28
250,2020-01-21,4,5,9,1,18.45,18.45,4,27
251,2020-01-31,30,11,9,2,576.26,1152.52,4,26
252,2020-01-07,10,16,9,1,8.95,8.95,4,27
253,2020-01-08,24,10,9,4,36.0,144.0,4,26
254,2020-01-30,27,2,9,3,63.9,191.7,4,27
255,2020-01-10,1,18,9,2,8.29,16.58,4,27
256,2020-01-21,16,10,9,4,46.99,187.96,4,26
257,2020-01-06,21,16,9,3,8.0,24.0,4,27
258,2020-01-22,6,16,9,4,22.35,89.4,4,28
259,2020-01-03,4,8,9,5,55.56,277.8,2,26
260,2020-01-08,9,8,10,1,70.99,70.99,4,30
261,2020-01-23,22,5,10,2,12.19,24.38,4,29
262,2020-01-29,10,16,10,1,21.99,21.99,4,31
263,2020-01-08,16,20,10,2,40.99,81.98,4,29
264,2020-01-30,18,9,10,3,168.04,504.12,4,31
265,2020-01-26,15,3,10,3,66.81,200.43,3,31
266,2020-01-29,19,10,10,1,42.12,42.12,4,31
267,2020-01-07,16,16,10,4,14.99,59.96,4,29
268,2020-01-14,2,9,10,2,173.9,347.8,4,31
269,2020-01-27,7,1,10,1,1053.22,1053.22,4,31
270,2020-01-02,3,19,10,1,24.22,24.22,4,30
271,2020-01-24,14,14,10,5,156.37,781.85,4,30
272,2020-01-13,22,2,10,1,116.99,116.99,4,31
273,2020-01-13,24,10,10,3,59.25,177.75,4,29
